image,top_left_x,top_left_y,bottom_right_x,bottom_right_y
user_3/A0.jpg,124,18,214,108
user_3/A1.jpg,124,18,214,108
user_3/A2.jpg,123,19,213,109
user_3/A3.jpg,122,21,212,111
user_3/A4.jpg,122,20,212,110
user_3/A5.jpg,96,35,176,115
user_3/A6.jpg,93,39,173,119
user_3/A7.jpg,90,46,170,126
user_3/A8.jpg,89,54,169,134
user_3/A9.jpg,90,56,170,136
user_3/B0.jpg,139,12,289,162
user_3/B1.jpg,139,12,289,162
user_3/B2.jpg,149,22,279,152
user_3/B3.jpg,147,23,277,153
user_3/B4.jpg,145,27,275,157
user_3/B5.jpg,3,23,193,213
user_3/B6.jpg,0,0,180,180
user_3/B7.jpg,38,0,218,180
user_3/B8.jpg,43,39,223,219
user_3/B9.jpg,66,0,186,120
user_3/C0.jpg,167,0,267,100
user_3/C1.jpg,175,0,275,100
user_3/C2.jpg,178,0,278,100
user_3/C3.jpg,167,0,267,100
user_3/C4.jpg,167,0,267,100
user_3/C5.jpg,68,6,198,136
user_3/C6.jpg,68,6,198,136
user_3/C7.jpg,71,12,191,132
user_3/C8.jpg,75,18,185,128
user_3/C9.jpg,70,21,180,131
user_3/D0.jpg,131,0,281,150
user_3/D1.jpg,123,0,273,150
user_3/D2.jpg,132,0,272,140
user_3/D3.jpg,132,0,272,140
user_3/D4.jpg,132,0,272,140
user_3/D5.jpg,34,3,194,163
user_3/D6.jpg,41,2,191,152
user_3/D7.jpg,35,0,185,150
user_3/D8.jpg,34,8,174,148
user_3/D9.jpg,39,13,169,143
user_3/E0.jpg,146,19,236,109
user_3/E1.jpg,151,16,241,106
user_3/E2.jpg,142,19,232,109
user_3/E3.jpg,143,17,233,107
user_3/E4.jpg,152,15,242,105
user_3/E5.jpg,65,6,175,116
user_3/E6.jpg,76,8,176,108
user_3/E7.jpg,75,9,175,109
user_3/E8.jpg,90,20,180,110
user_3/E9.jpg,95,31,175,111
user_3/F0.jpg,149,17,269,137
user_3/F1.jpg,143,16,263,136
user_3/F2.jpg,149,13,269,133
user_3/F3.jpg,147,20,267,140
user_3/F4.jpg,141,19,261,139
user_3/F5.jpg,83,21,203,141
user_3/F6.jpg,95,21,215,141
user_3/F7.jpg,85,28,205,148
