image,top_left_x,top_left_y,bottom_right_x,bottom_right_y
user_4/A0.jpg,167,93,237,163
user_4/A1.jpg,167,93,237,163
user_4/A2.jpg,167,93,237,163
user_4/A3.jpg,168,86,238,156
user_4/A4.jpg,166,88,236,158
user_4/A5.jpg,126,37,226,137
user_4/A6.jpg,131,36,231,136
user_4/A7.jpg,132,43,222,133
user_4/A8.jpg,131,41,221,131
user_4/A9.jpg,131,41,221,131
user_4/B0.jpg,131,48,271,188
user_4/B1.jpg,141,53,261,173
user_4/B2.jpg,144,59,254,169
user_4/B3.jpg,142,52,262,172
user_4/B4.jpg,142,52,272,182
user_4/B5.jpg,71,21,241,191
user_4/B6.jpg,78,21,238,181
user_4/B7.jpg,63,6,243,186
user_4/B8.jpg,56,16,246,206
user_4/B9.jpg,52,28,252,228
user_4/C0.jpg,150,56,260,166
user_4/C1.jpg,158,60,258,160
user_4/C2.jpg,162,64,262,164
user_4/C3.jpg,170,76,260,166
user_4/C4.jpg,169,77,259,167
user_4/C5.jpg,124,8,244,128
user_4/C6.jpg,123,11,243,131
user_4/C7.jpg,125,11,245,131
user_4/C8.jpg,125,11,245,131
user_4/C9.jpg,98,2,238,142
user_4/D0.jpg,120,63,260,203
user_4/D1.jpg,122,56,262,196
user_4/D2.jpg,133,58,263,188
user_4/D3.jpg,133,58,263,188
user_4/D4.jpg,133,58,263,188
user_4/D5.jpg,80,4,250,174
user_4/D6.jpg,88,7,248,167
user_4/D7.jpg,89,8,249,168
user_4/D8.jpg,97,14,247,164
user_4/D9.jpg,84,4,274,194
user_4/E0.jpg,140,69,240,169
user_4/E1.jpg,135,66,235,166
user_4/E2.jpg,141,61,241,161
user_4/E3.jpg,147,66,237,156
user_4/E4.jpg,144,67,234,157
user_4/E5.jpg,100,32,230,162
user_4/E6.jpg,105,28,235,158
user_4/E7.jpg,107,25,237,155
user_4/E8.jpg,119,28,239,148
user_4/E9.jpg,122,33,232,143
user_4/F0.jpg,127,34,257,164
user_4/F1.jpg,136,35,266,165
user_4/F2.jpg,129,32,259,162
user_4/F3.jpg,138,36,268,166
user_4/F4.jpg,150,41,280,171
user_4/F5.jpg,139,5,289,155
user_4/F6.jpg,134,9,284,159
user_4/F7.jpg,142,4,292,154
user_4/F8.jpg,149,8,299,158
user_4/F9.jpg,136,3,286,153
user_4/G0.jpg,168,46,298,176
user_4/G1.jpg,180,48,310,178
user_4/G2.jpg,187,50,317,180
user_4/G3.jpg,199,50,319,170
user_4/G4.jpg,174,56,314,196
user_4/G5.jpg,125,31,285,191
user_4/G6.jpg,136,26,296,186
user_4/G7.jpg,131,23,291,183
user_4/G8.jpg,142,25,302,185
user_4/G9.jpg,135,34,295,194
user_4/H0.jpg,152,79,292,219
user_4/H1.jpg,169,79,309,219
user_4/H2.jpg,179,84,319,224
user_4/H3.jpg,179,84,319,224
user_4/H4.jpg,177,90,317,230
user_4/H5.jpg,132,28,302,198
user_4/H6.jpg,129,28,299,198
user_4/H7.jpg,137,22,307,192
user_4/H8.jpg,129,21,299,191
user_4/H9.jpg,137,25,307,195
user_4/I0.jpg,93,45,203,155
user_4/I1.jpg,88,44,198,154
user_4/I2.jpg,107,45,217,155
user_4/I3.jpg,89,43,199,153
user_4/I4.jpg,86,38,196,148
user_4/I5.jpg,99,21,259,181
user_4/I6.jpg,93,20,253,180
user_4/I7.jpg,111,21,271,181
user_4/I8.jpg,100,11,260,171
user_4/I9.jpg,108,24,268,184
user_4/K0.jpg,34,68,184,218
user_4/K1.jpg,22,66,172,216
user_4/K2.jpg,30,71,180,221
user_4/K3.jpg,10,66,160,216
user_4/K4.jpg,4,60,154,210
user_4/K5.jpg,9,13,209,213
user_4/K6.jpg,23,14,223,214
user_4/K7.jpg,16,13,216,213
user_4/K8.jpg,1,10,201,210
user_4/K9.jpg,1,0,201,200
user_4/L0.jpg,120,2,290,172
user_4/L1.jpg,131,8,301,178
user_4/L2.jpg,112,3,282,173
user_4/L3.jpg,122,5,292,175
user_4/L4.jpg,109,4,279,174
user_4/L5.jpg,102,17,302,217
user_4/L6.jpg,103,6,303,206
user_4/L7.jpg,97,3,297,203
user_4/L8.jpg,107,7,297,197
user_4/L9.jpg,103,1,293,191
user_4/M0.jpg,66,58,196,188
user_4/M1.jpg,71,68,201,198
user_4/M2.jpg,63,69,193,199
user_4/M3.jpg,76,72,206,202
user_4/M4.jpg,68,75,198,205
user_4/M5.jpg,126,53,256,183
user_4/M6.jpg,118,51,248,181
user_4/M7.jpg,132,46,262,176
user_4/M8.jpg,121,41,251,171
user_4/M9.jpg,134,48,264,178
user_4/N0.jpg,89,52,209,172
user_4/N1.jpg,81,54,201,174
user_4/N2.jpg,103,60,223,180
user_4/N3.jpg,82,61,202,181
user_4/N4.jpg,96,58,216,178
user_4/N5.jpg,105,49,225,169
user_4/N6.jpg,97,50,217,170
user_4/N7.jpg,111,56,231,176
user_4/N8.jpg,104,41,224,161
user_4/N9.jpg,94,44,214,164
user_4/O0.jpg,109,9,229,129
user_4/O1.jpg,98,5,218,125
user_4/O2.jpg,109,8,229,128
user_4/O3.jpg,113,8,233,128
user_4/O4.jpg,103,7,223,127
user_4/O5.jpg,169,3,289,123
user_4/O6.jpg,158,0,278,120
user_4/O7.jpg,173,0,293,120
user_4/O8.jpg,161,0,281,120
user_4/O9.jpg,160,0,280,120
user_4/P0.jpg,72,93,182,203
user_4/P1.jpg,71,83,181,193
user_4/P2.jpg,68,102,178,212
user_4/P3.jpg,79,99,189,209
user_4/P4.jpg,65,93,175,203
user_4/P5.jpg,10,54,150,194
user_4/P6.jpg,19,50,159,190
user_4/P7.jpg,15,54,155,194
user_4/P8.jpg,12,47,152,187
user_4/P9.jpg,15,61,155,201
user_4/Q0.jpg,82,56,202,176
user_4/Q1.jpg,70,44,190,164
user_4/Q2.jpg,74,55,194,175
user_4/Q3.jpg,69,46,189,166
user_4/Q4.jpg,83,49,203,169
user_4/Q5.jpg,63,34,243,214
user_4/Q6.jpg,56,26,236,206
user_4/Q7.jpg,71,27,251,207
user_4/Q8.jpg,63,21,243,201
user_4/Q9.jpg,64,32,244,212
user_4/R0.jpg,107,16,237,146
user_4/R1.jpg,106,16,236,146
user_4/R2.jpg,121,13,251,143
user_4/R3.jpg,95,16,225,146
user_4/R4.jpg,115,18,245,148
user_4/R5.jpg,95,20,275,200
user_4/R6.jpg,93,17,283,207
user_4/R7.jpg,82,22,272,212
user_4/R8.jpg,101,22,291,212
user_4/R9.jpg,79,17,269,207
user_4/S0.jpg,116,43,206,133
user_4/S1.jpg,109,39,199,129
user_4/S2.jpg,123,44,213,134
user_4/S3.jpg,108,41,198,131
user_4/S4.jpg,122,46,212,136
user_4/S5.jpg,107,60,237,190
user_4/S6.jpg,98,56,228,186
user_4/S7.jpg,117,54,247,184
user_4/S8.jpg,99,50,229,180
user_4/S9.jpg,111,57,241,187
user_4/T0.jpg,126,36,246,156
user_4/T1.jpg,118,34,238,154
user_4/T2.jpg,129,32,239,142
user_4/T3.jpg,118,29,228,139
user_4/T4.jpg,122,35,222,135
user_4/T5.jpg,143,42,293,192
user_4/T6.jpg,127,37,277,187
user_4/T7.jpg,142,40,292,190
user_4/T8.jpg,129,33,279,183
user_4/T9.jpg,139,37,289,187
user_4/U0.jpg,124,36,244,156
user_4/U1.jpg,114,31,234,151
user_4/U2.jpg,123,32,243,152
user_4/U3.jpg,112,28,242,158
user_4/U4.jpg,105,30,235,160
user_4/U5.jpg,71,43,261,233
user_4/U6.jpg,63,49,253,239
user_4/U7.jpg,74,46,264,236
user_4/U8.jpg,63,47,253,237
user_4/U9.jpg,61,45,251,235
user_4/V0.jpg,130,40,260,170
user_4/V1.jpg,117,33,247,163
user_4/V2.jpg,134,37,264,167
user_4/V3.jpg,123,36,253,166
user_4/V4.jpg,135,38,265,168
user_4/V5.jpg,84,79,244,239
user_4/V6.jpg,75,76,235,236
user_4/V7.jpg,82,79,242,239
user_4/V8.jpg,93,72,253,232
user_4/V9.jpg,79,66,239,226
user_4/W0.jpg,110,63,250,203
user_4/W1.jpg,66,51,206,191
user_4/W2.jpg,94,53,234,193
user_4/W3.jpg,101,40,241,180
user_4/W4.jpg,102,55,242,195
user_4/W5.jpg,84,67,254,237
user_4/W6.jpg,61,58,231,228
user_4/W7.jpg,73,69,243,239
user_4/W8.jpg,66,59,236,229
user_4/W9.jpg,79,63,249,233
user_4/X0.jpg,136,33,256,153
user_4/X1.jpg,122,27,242,147
user_4/X2.jpg,146,31,266,151
user_4/X3.jpg,126,26,246,146
user_4/X4.jpg,136,31,256,151
user_4/X5.jpg,126,53,276,203
user_4/X6.jpg,108,45,258,195
user_4/X7.jpg,138,52,288,202
user_4/X8.jpg,110,46,260,196
user_4/X9.jpg,124,44,274,194
user_4/Y0.jpg,114,62,244,192
user_4/Y1.jpg,96,65,226,195
user_4/Y2.jpg,119,67,249,197
user_4/Y3.jpg,93,60,223,190
user_4/Y4.jpg,102,63,232,193
user_4/Y5.jpg,91,73,251,233
user_4/Y6.jpg,82,66,252,236
user_4/Y7.jpg,98,64,268,234
user_4/Y8.jpg,83,60,253,230
user_4/Y9.jpg,104,65,274,235
